metric,value
total_rows,3500744
null_name,0
null_description,0
null_property_type,0
null_province,0
null_district,101933
null_ward,496716
null_street,1376860
null_project,2499891
null_price,218494
null_area,4
null_floor,2691982
null_frontage,1726424
null_depth,3432288
null_road,2830873
null_bedroom,1600361
null_bathroom,1720974
null_house_direction,2414214
null_balcony_direction,2933342
null_published_at,0
