source_id,threshold_version,threshold_scope,property_type,total_rows,valid_area_rows,p99_area_m2,valid_price_per_m2_rows,p99_price_per_m2,floor_count_non_null_rows,p99_floor_count,bedroom_count_non_null_rows,p99_bedroom_count,bathroom_count_non_null_rows,p99_bathroom_count
SRC01,src01_raw_20260904_p99_v1,GLOBAL_FALLBACK,__GLOBAL_FALLBACK__,3500744,3500740,2222.0,3224930,607692307.6923077,808762,8.0,1900383,14.0,1779770,13.0
SRC01,src01_raw_20260904_p99_v1,PROPERTY_TYPE,Biệt thự/Nhà liền kề,269782,269780,894.2520000000252,241579,625000000.0,135886,7.0,138989,10.0,131827,10.0
SRC01,src01_raw_20260904_p99_v1,PROPERTY_TYPE,Căn hộ chung cư,762800,762798,240.0,677895,261864406.77966103,955,40.0,709883,4.0,682557,4.0
SRC01,src01_raw_20260904_p99_v1,PROPERTY_TYPE,Nhà,1575536,1575536,544.0,1493988,735000000.0,649819,8.0,1026097,19.0,939093,18.0
SRC01,src01_raw_20260904_p99_v1,PROPERTY_TYPE,Shophouse,59860,59860,535.0,51717,552310374.89102,20551,7.0,24734,10.0,25664,10.0
SRC01,src01_raw_20260904_p99_v1,PROPERTY_TYPE,Đất,832766,832766,10716.349999999977,759751,347947879.1170806,1551,9.0,680,20.0,629,15.0
