property_type_name,records,median_area,p99_area,median_price_m2,p99_price_m2
Nhà,1493988,62.0,550.0,162962962.96296296,735000000.0
Đất,759751,113.0,10363.2,37520391.51712887,347947879.1170806
Căn hộ chung cư,677895,73.0,235.0,68000000.0,261864406.77966103
Biệt thự/Nhà liền kề,241579,131.0,900.0,153374233.12883437,625000000.0
Shophouse,51717,100.0,535.0,100000000.0,552310374.89102
